NAME                                                                 VERSION                 TYPE         
Readsfromstdinwithoutleakinginfototheterminalandoutputsbacktostdout  1,                      dotnet        
alpine-baselayout                                                    3.4.3-r1                apk           
alpine-baselayout-data                                               3.4.3-r1                apk           
alpine-keys                                                          2.4-r1                  apk           
alpine-release                                                       3.18.4-r0               apk           
aom-libs                                                             3.6.1-r0                apk           
apache2-utils                                                        2.4.58-r0               apk           
apk-tools                                                            2.14.0-r2               apk           
apr                                                                  1.7.4-r0                apk           
apr-util                                                             1.6.3-r1                apk           
argon2-libs                                                          20190702-r4             apk           
azuyalabs/yasumi                                                     2.6.0                   php-composer  
bacon/bacon-qr-code                                                  2.0.8                   php-composer  
bash                                                                 5.2.15-r5               apk           
behat/transliterator                                                 v1.5.0                  php-composer  
brotli-libs                                                          1.0.9-r14               apk           
busybox                                                              1.36.1-r5               apk           
busybox-binsh                                                        1.36.1-r5               apk           
ca-certificates                                                      20230506-r0             apk           
ca-certificates-bundle                                               20230506-r0             apk           
composer/pcre                                                        3.1.1                   php-composer  
composer/semver                                                      3.4.0                   php-composer  
composer/xdebug-handler                                              3.0.3                   php-composer  
coreutils                                                            9.3-r1                  apk           
curl                                                                 8.4.0-r0                apk           
dama/doctrine-test-bundle                                            v7.3.0                  php-composer  
dasprid/enum                                                         1.0.5                   php-composer  
doctrine/annotations                                                 2.0.1                   php-composer  
doctrine/cache                                                       2.2.0                   php-composer  
doctrine/collections                                                 2.1.4                   php-composer  
doctrine/common                                                      3.4.3                   php-composer  
doctrine/data-fixtures                                               1.7.0                   php-composer  
doctrine/dbal                                                        3.7.2                   php-composer  
doctrine/deprecations                                                1.1.2                   php-composer  
doctrine/doctrine-bundle                                             2.11.1                  php-composer  
doctrine/doctrine-fixtures-bundle                                    3.5.1                   php-composer  
doctrine/doctrine-migrations-bundle                                  3.3.0                   php-composer  
doctrine/event-manager                                               2.0.0                   php-composer  
doctrine/inflector                                                   2.0.8                   php-composer  
doctrine/instantiator                                                2.0.0                   php-composer  
doctrine/lexer                                                       2.1.0                   php-composer  
doctrine/migrations                                                  3.7.1                   php-composer  
doctrine/orm                                                         2.17.1                  php-composer  
doctrine/persistence                                                 3.2.0                   php-composer  
doctrine/sql-formatter                                               1.1.3                   php-composer  
egulias/email-validator                                              4.0.2                   php-composer  
endroid/qr-code                                                      4.8.5                   php-composer  
erusev/parsedown                                                     1.7.4                   php-composer  
ezyang/htmlpurifier                                                  v4.17.0                 php-composer  
fakerphp/faker                                                       v1.23.0                 php-composer  
freetype                                                             2.13.0-r5               apk           
friendsofphp/php-cs-fixer                                            v3.40.0                 php-composer  
friendsofsymfony/rest-bundle                                         3.6.0                   php-composer  
gdbm                                                                 1.23-r1                 apk           
gedmo/doctrine-extensions                                            v3.13.0                 php-composer  
git                                                                  2.40.1-r0               apk           
icu-data-en                                                          73.2-r2                 apk           
icu-libs                                                             73.2-r2                 apk           
jms/metadata                                                         2.8.0                   php-composer  
jms/serializer                                                       3.28.0                  php-composer  
jms/serializer-bundle                                                5.3.1                   php-composer  
jq                                                                   1.6-r3                  apk           
kevinpapst/tabler-bundle                                             1.1.0                   php-composer  
laminas/laminas-escaper                                              2.13.0                  php-composer  
league/csv                                                           9.11.0                  php-composer  
libacl                                                               2.3.1-r3                apk           
libattr                                                              2.5.1-r4                apk           
libavif                                                              0.11.1-r2               apk           
libbsd                                                               0.11.7-r1               apk           
libbz2                                                               1.0.8-r5                apk           
libc-utils                                                           0.7.2-r5                apk           
libcrypto3                                                           3.1.4-r1                apk           
libcurl                                                              8.4.0-r0                apk           
libdav1d                                                             1.2.1-r0                apk           
libedit                                                              20221030.3.1-r1         apk           
libexpat                                                             2.5.0-r1                apk           
libgcc                                                               12.2.1_git20220924-r10  apk           
libgcrypt                                                            1.10.2-r1               apk           
libgpg-error                                                         1.47-r1                 apk           
libice                                                               1.1.1-r2                apk           
libidn2                                                              2.3.4-r1                apk           
libintl                                                              0.21.1-r7               apk           
libjpeg-turbo                                                        2.1.5.1-r3              apk           
libldap                                                              2.6.5-r0                apk           
libmd                                                                1.0.4-r2                apk           
libncursesw                                                          6.4_p20230506-r0        apk           
libpng                                                               1.6.39-r3               apk           
libproc2                                                             4.0.4-r0                apk           
libsasl                                                              2.1.28-r4               apk           
libsm                                                                1.2.4-r1                apk           
libssl3                                                              3.1.4-r1                apk           
libstdc++                                                            12.2.1_git20220924-r10  apk           
libunistring                                                         1.1-r1                  apk           
libuuid                                                              2.38.1-r8               apk           
libwebp                                                              1.3.2-r0                apk           
libx11                                                               1.8.7-r0                apk           
libxau                                                               1.0.11-r2               apk           
libxcb                                                               1.15-r1                 apk           
libxdmcp                                                             1.1.4-r2                apk           
libxext                                                              1.3.5-r2                apk           
libxml2                                                              2.11.6-r0               apk           
libxpm                                                               3.5.16-r1               apk           
libxslt                                                              1.1.38-r0               apk           
libxt                                                                1.3.0-r2                apk           
libzip                                                               1.9.2-r2                apk           
linux-pam                                                            1.5.2-r10               apk           
logrotate                                                            3.21.0-r1               apk           
lorenzo/pinky                                                        1.1.0                   php-composer  
lz4-libs                                                             1.9.4-r4                apk           
maennchen/zipstream-php                                              3.1.0                   php-composer  
markbaker/complex                                                    3.0.2                   php-composer  
markbaker/matrix                                                     3.0.1                   php-composer  
masterminds/html5                                                    2.8.1                   php-composer  
monolog/monolog                                                      3.5.0                   php-composer  
mpdf/mpdf                                                            v8.2.2                  php-composer  
mpdf/psr-http-message-shim                                           v2.0.1                  php-composer  
mpdf/psr-log-aware-trait                                             v3.0.0                  php-composer  
musl                                                                 1.2.4-r2                apk           
musl-utils                                                           1.2.4-r2                apk           
myclabs/deep-copy                                                    1.11.1                  php-composer  
nano                                                                 7.2-r1                  apk           
ncurses-terminfo-base                                                6.4_p20230506-r0        apk           
nelmio/api-doc-bundle                                                v4.12.0                 php-composer  
nelmio/cors-bundle                                                   2.4.0                   php-composer  
netcat-openbsd                                                       1.219-r1                apk           
nghttp2-libs                                                         1.57.0-r0               apk           
nginx                                                                1.24.0-r7               apk           
nikic/php-parser                                                     v4.17.1                 php-composer  
onelogin/php-saml                                                    4.1.0                   php-composer  
oniguruma                                                            6.9.8-r1                apk           
openssl                                                              3.1.4-r1                apk           
pagerfanta/pagerfanta                                                v3.8.0                  php-composer  
paragonie/constant_time_encoding                                     v2.6.3                  php-composer  
paragonie/random_compat                                              v9.99.100               php-composer  
pcre                                                                 8.45-r3                 apk           
pcre2                                                                10.42-r1                apk           
phar-io/manifest                                                     2.0.3                   php-composer  
phar-io/version                                                      3.2.1                   php-composer  
php82                                                                8.2.13-r0               apk           
php82-common                                                         8.2.13-r0               apk           
php82-ctype                                                          8.2.13-r0               apk           
php82-curl                                                           8.2.13-r0               apk           
php82-dom                                                            8.2.13-r0               apk           
php82-fileinfo                                                       8.2.13-r0               apk           
php82-fpm                                                            8.2.13-r0               apk           
php82-gd                                                             8.2.13-r0               apk           
php82-iconv                                                          8.2.13-r0               apk           
php82-intl                                                           8.2.13-r0               apk           
php82-ldap                                                           8.2.13-r0               apk           
php82-mbstring                                                       8.2.13-r0               apk           
php82-mysqlnd                                                        8.2.13-r0               apk           
php82-openssl                                                        8.2.13-r0               apk           
php82-pdo                                                            8.2.13-r0               apk           
php82-pdo_mysql                                                      8.2.13-r0               apk           
php82-pecl-igbinary                                                  3.2.14-r0               apk           
php82-pecl-msgpack                                                   2.2.0-r0                apk           
php82-pecl-redis                                                     6.0.2-r0                apk           
php82-phar                                                           8.2.13-r0               apk           
php82-session                                                        8.2.13-r0               apk           
php82-simplexml                                                      8.2.13-r0               apk           
php82-sockets                                                        8.2.13-r0               apk           
php82-tokenizer                                                      8.2.13-r0               apk           
php82-xml                                                            8.2.13-r0               apk           
php82-xmlreader                                                      8.2.13-r0               apk           
php82-xmlwriter                                                      8.2.13-r0               apk           
php82-xsl                                                            8.2.13-r0               apk           
php82-zip                                                            8.2.13-r0               apk           
phpdocumentor/reflection-common                                      2.2.0                   php-composer  
phpdocumentor/reflection-docblock                                    5.3.0                   php-composer  
phpdocumentor/type-resolver                                          1.7.3                   php-composer  
phpoffice/phpspreadsheet                                             1.29.0                  php-composer  
phpoffice/phpword                                                    1.1.0                   php-composer  
phpstan/phpdoc-parser                                                1.24.4                  php-composer  
phpstan/phpstan                                                      1.10.47                 php-composer  
phpstan/phpstan-doctrine                                             1.3.53                  php-composer  
phpstan/phpstan-phpunit                                              1.3.15                  php-composer  
phpstan/phpstan-strict-rules                                         1.5.2                   php-composer  
phpstan/phpstan-symfony                                              1.3.5                   php-composer  
phpunit/php-code-coverage                                            9.2.29                  php-composer  
phpunit/php-file-iterator                                            3.0.6                   php-composer  
phpunit/php-invoker                                                  3.1.1                   php-composer  
